2024-02-18 20:30:47 [    INFO] Connected devices UDIDs: ['emulator-5554'] (logger_init.py:22)
2024-02-18 20:30:58 [    INFO] Attempting login with email: qa.ajax.app.automation@gmail.com, password: qa_automation_password (test_login.py:10)
2024-02-18 20:30:58 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:00 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:02 [    INFO] "Email" field with "qa.ajax.app.automation@gmail.com" value was filled. (login_page.py:21)
2024-02-18 20:31:03 [    INFO] "Password" field with "qa_automation_password" was filled. (login_page.py:29)
2024-02-18 20:31:05 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:08 [    INFO] Start to sign out of account. (login_page.py:46)
2024-02-18 20:31:11 [    INFO] Sign out was successful. (login_page.py:57)
2024-02-18 20:31:11 [    INFO] Attempting login with email: invalid@gmail.com, password: invalid_password (test_login.py:30)
2024-02-18 20:31:11 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:14 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:15 [    INFO] "Email" field with "invalid@gmail.com" value was filled. (login_page.py:21)
2024-02-18 20:31:17 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:18 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:18 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:20 [   ERROR] Shows window with text "Wrong login or password". (test_login.py:37)
2024-02-18 20:31:20 [    INFO] Attempting login with email: invalid@gmail.com, password: qa_automation_password (test_login.py:30)
2024-02-18 20:31:20 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:20 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:21 [    INFO] "Email" field with "invalid@gmail.com" value was filled. (login_page.py:21)
2024-02-18 20:31:22 [    INFO] "Password" field with "qa_automation_password" was filled. (login_page.py:29)
2024-02-18 20:31:25 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:25 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:25 [   ERROR] Shows window with text "Wrong login or password". (test_login.py:37)
2024-02-18 20:31:25 [    INFO] Attempting login with email: qa.ajax.app.automation@gmail.com, password: invalid_password (test_login.py:30)
2024-02-18 20:31:25 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:25 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:25 [    INFO] "Email" field with "qa.ajax.app.automation@gmail.com" value was filled. (login_page.py:21)
2024-02-18 20:31:27 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:29 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:29 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:29 [   ERROR] Shows window with text "Wrong login or password". (test_login.py:37)
2024-02-18 20:31:29 [    INFO] Attempting login with email: aaaaaaaaaa, password: invalid_password (test_login.py:30)
2024-02-18 20:31:29 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:29 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:30 [    INFO] "Email" field with "aaaaaaaaaa" value was filled. (login_page.py:21)
2024-02-18 20:31:31 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:33 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:33 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:33 [   ERROR] Shows window with text "Invalid email format". (test_login.py:37)
2024-02-18 20:31:33 [    INFO] Attempting login with email: @@@@@@@@@@, password: invalid_password (test_login.py:30)
2024-02-18 20:31:33 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:33 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:34 [    INFO] "Email" field with "@@@@@@@@@@" value was filled. (login_page.py:21)
2024-02-18 20:31:35 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:37 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:37 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:37 [   ERROR] Shows window with text "Invalid email format". (test_login.py:37)
2024-02-18 20:31:37 [    INFO] Attempting login with email: 1234567890, password: invalid_password (test_login.py:30)
2024-02-18 20:31:37 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:37 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:38 [    INFO] "Email" field with "1234567890" value was filled. (login_page.py:21)
2024-02-18 20:31:39 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:41 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:41 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:41 [   ERROR] Shows window with text "Invalid email format". (test_login.py:37)
2024-02-18 20:31:41 [    INFO] Attempting login with email: dfsdb2312@, password: invalid_password (test_login.py:30)
2024-02-18 20:31:41 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:41 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:42 [    INFO] "Email" field with "dfsdb2312@" value was filled. (login_page.py:21)
2024-02-18 20:31:43 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:45 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:45 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:45 [   ERROR] Shows window with text "Invalid email format". (test_login.py:37)
2024-02-18 20:31:45 [    INFO] Attempting login with email: @rtrf53434, password: invalid_password (test_login.py:30)
2024-02-18 20:31:45 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:45 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:46 [    INFO] "Email" field with "@rtrf53434" value was filled. (login_page.py:21)
2024-02-18 20:31:47 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:49 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:49 [   ERROR] Login failed. (test_login.py:33)
2024-02-18 20:31:49 [   ERROR] Shows window with text "Invalid email format". (test_login.py:37)
2024-02-18 20:31:49 [    INFO] Attempting login with email: , password: qa_automation_password (test_login.py:49)
2024-02-18 20:31:49 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:49 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:50 [    INFO] "Email" field with "" value was filled. (login_page.py:21)
2024-02-18 20:31:51 [    INFO] "Password" field with "qa_automation_password" was filled. (login_page.py:29)
2024-02-18 20:31:52 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:52 [   ERROR] Login failed. (test_login.py:52)
2024-02-18 20:31:52 [   ERROR] "Log in" button is NOT clickable. (test_login.py:54)
2024-02-18 20:31:52 [    INFO] Attempting login with email: , password: invalid_password (test_login.py:49)
2024-02-18 20:31:52 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:52 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:53 [    INFO] "Email" field with "" value was filled. (login_page.py:21)
2024-02-18 20:31:54 [    INFO] "Password" field with "invalid_password" was filled. (login_page.py:29)
2024-02-18 20:31:55 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:55 [   ERROR] Login failed. (test_login.py:52)
2024-02-18 20:31:55 [   ERROR] "Log in" button is NOT clickable. (test_login.py:54)
2024-02-18 20:31:55 [    INFO] Attempting login with email: qa.ajax.app.automation@gmail.com, password:  (test_login.py:49)
2024-02-18 20:31:55 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:55 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:55 [    INFO] "Email" field with "qa.ajax.app.automation@gmail.com" value was filled. (login_page.py:21)
2024-02-18 20:31:56 [    INFO] "Password" field with "" was filled. (login_page.py:29)
2024-02-18 20:31:57 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:57 [   ERROR] Login failed. (test_login.py:52)
2024-02-18 20:31:57 [   ERROR] "Log in" button is NOT clickable. (test_login.py:54)
2024-02-18 20:31:57 [    INFO] Attempting login with email: invalid@gmail.com, password:  (test_login.py:49)
2024-02-18 20:31:57 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:57 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:57 [    INFO] "Email" field with "invalid@gmail.com" value was filled. (login_page.py:21)
2024-02-18 20:31:58 [    INFO] "Password" field with "" was filled. (login_page.py:29)
2024-02-18 20:31:59 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:31:59 [   ERROR] Login failed. (test_login.py:52)
2024-02-18 20:31:59 [   ERROR] "Log in" button is NOT clickable. (test_login.py:54)
2024-02-18 20:31:59 [    INFO] Attempting login with email: , password:  (test_login.py:49)
2024-02-18 20:31:59 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:31:59 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:31:59 [    INFO] "Email" field with "" value was filled. (login_page.py:21)
2024-02-18 20:32:01 [    INFO] "Password" field with "" was filled. (login_page.py:29)
2024-02-18 20:32:01 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:32:01 [   ERROR] Login failed. (test_login.py:52)
2024-02-18 20:32:01 [   ERROR] "Log in" button is NOT clickable. (test_login.py:54)
2024-02-18 20:32:01 [    INFO] Start log in to account. (login_page.py:36)
2024-02-18 20:32:02 [    INFO] "Log in" button in the main menu was clicked. (page.py:36)
2024-02-18 20:32:02 [    INFO] "Email" field with "qa.ajax.app.automation@gmail.com" value was filled. (login_page.py:21)
2024-02-18 20:32:03 [    INFO] "Password" field with "qa_automation_password" was filled. (login_page.py:29)
2024-02-18 20:32:04 [    INFO] Log in was successful. (login_page.py:43)
2024-02-18 20:32:06 [    INFO] "Menu" button was clicked. (login_page.py:64)
